user_id,business_id,compliment_count,date,text
AGNUgVwnZUey3gcPCJ76iw,3uLgwr0qeCNMjKenHJwPGQ,0,2012-05-18 02:17:21,Avengers time with the ladies.
NBN4MgHP9D3cw--SnauTkA,QoezRbYQncpRqyrLH6Iqjg,0,2013-02-05 18:35:10,They have lots of good deserts and tasty cuban sandwiches
-copOvldyKh1qr-vzkDEvw,MYoRNLb5chwjQe3c_k37Gg,0,2013-08-18 00:56:08,It's open even when you think it isn't
FjMQVZjSqY8syIO-53KFKw,hV-bABTK-glh5wj31ps_Jw,0,2017-06-27 23:05:38,Very decent fried chicken
ld0AperBXk1h6UbqmM80zw,_uN0OudeJ3Zl_tf6nxg5ww,0,2012-10-06 19:43:09,Appetizers.. platter special for lunch
trf3Qcz8qvCDKXiTgjUcEg,7Rm9Ba50bw23KTA8RedZYg,0,2012-03-13 04:00:52,"Chili Cup + Single Cheeseburger with onion, pickle, and relish + Vanilla Coca-Cola...so far."
SMGAlRjyfuYu-c-22zIyOg,kH-0iXqkL7b8UXNpguBMKg,0,2013-12-03 23:42:15,"Saturday, Dec 7th 2013, ride Patco's Silver Sleigh w/ Santa & his elves on a decorated train into Center City. Trains leave from Lindenwold at 10am, 11:15am, & 12:30pm, and make all stops. Great for kids!"
YVBB9g23nuVJ0u44zK0pSA,jtri188kuhe_AuEOJ51U_A,0,2016-11-22 22:14:58,This is probably the best place in the cool Springs area to watch a game and eat
VL12EhEdT4OWqGq0nIqkzw,xODBZmX4EmlVvbqtKN7YKg,0,2012-07-27 01:48:24,Tacos
4ay-fdVks5WMerYL_htkGQ,pICJRcyqW1cF96Q3XhLSbw,0,2012-06-09 22:57:04,Starbucks substitute in boring downtown Tampa. Ugh. Never again!
OttfcRxgRrYsTg9EV5Aozg,clwjLY7PdYJpe7IP9lrqEw,0,2014-06-17 01:20:14,Order the Tortilla Soup
JsXhBw6MntzTJjH_Ue5udw,wLHodvVFLTgK3nl2XG8OCw,0,2017-03-23 22:01:41,Very good will definitely be coming back!!
Y0JfJh4B-jrtGc_AHfWi6w,wUMuvdUeVZODZk7TjaD2jg,0,2013-02-28 02:05:54,If the Hotlight is on you must stop in.
